block_id,status,n_targets,n_pending_at_start,n_saved_this_run,elapsed_minutes,message
2026_HARP14215_20260101_0024_20260101_1624,already_complete,11,,0,0.0,all_samples_already_in_gcp
2026_HARP14220_20260101_0036_20260101_1012,already_complete,7,,0,0.0,all_samples_already_in_gcp
2026_HARP14239_20260101_0100_20260101_2324,already_complete,15,,0,0.0,all_samples_already_in_gcp
2026_HARP14220_20260101_1324_20260102_1148,already_complete,15,,0,0.0,all_samples_already_in_gcp
2026_HARP14215_20260101_1936_20260102_1624,already_complete,14,,0,0.0,all_samples_already_in_gcp
2026_HARP14228_20260102_0012_20260102_2236,already_complete,15,,0,0.0,all_samples_already_in_gcp
2026_HARP14239_20260102_0100_20260102_2324,already_complete,15,,0,0.0,all_samples_already_in_gcp
2026_HARP14246_20260102_1100_20260103_0748,already_complete,14,,0,0.0,all_samples_already_in_gcp
2026_HARP14220_20260102_1324_20260103_0836,already_complete,13,,0,0.0,all_samples_already_in_gcp
2026_HARP14215_20260102_1936_20260103_0824,already_complete,9,,0,0.0,all_samples_already_in_gcp
2026_HARP14228_20260103_0012_20260103_0812,already_complete,6,,0,0.0,all_samples_already_in_gcp
2026_HARP14245_20260103_0036_20260103_0836,already_complete,6,,0,0.0,all_samples_already_in_gcp
2026_HARP14239_20260103_0100_20260103_0724,already_complete,5,,0,0.0,all_samples_already_in_gcp
2026_HARP14239_20260103_1924_20260104_1748,already_complete,15,,0,0.0,all_samples_already_in_gcp
2026_HARP14246_20260103_1948_20260104_1812,already_complete,15,,0,0.0,all_samples_already_in_gcp
2026_HARP14228_20260103_2012_20260104_1836,already_complete,15,,0,0.0,all_samples_already_in_gcp
2026_HARP14215_20260103_2024_20260103_2336,already_complete,3,,0,0.0,all_samples_already_in_gcp
2026_HARP14220_20260103_2036_20260104_0436,already_complete,6,,0,0.0,all_samples_already_in_gcp
2026_HARP14245_20260103_2036_20260104_1900,already_complete,15,,0,0.0,all_samples_already_in_gcp
2026_HARP14239_20260104_1924_20260105_0948,already_complete,10,,0,0.0,all_samples_already_in_gcp
2026_HARP14246_20260104_1948_20260105_1812,already_complete,15,,0,0.0,all_samples_already_in_gcp
2026_HARP14228_20260104_2012_20260105_1836,already_complete,15,,0,0.0,all_samples_already_in_gcp
2026_HARP14245_20260104_2036_20260104_2212,already_complete,2,,0,0.0,all_samples_already_in_gcp
2026_HARP14245_20260105_0124_20260105_0612,already_complete,4,,0,0.0,all_samples_already_in_gcp
2026_HARP14245_20260105_0924_20260105_1724,already_complete,6,,0,0.0,all_samples_already_in_gcp
2026_HARP14246_20260105_1948_20260106_1848,already_complete,15,,0,0.0,all_samples_already_in_gcp
2026_HARP14228_20260105_2012_20260106_1424,already_complete,12,,0,0.0,all_samples_already_in_gcp
2026_HARP14245_20260105_2036_20260106_1624,already_complete,13,,0,0.0,all_samples_already_in_gcp
2026_HARP14251_20260106_1524_20260106_1836,already_complete,3,,0,0.0,all_samples_already_in_gcp
2026_HARP14245_20260106_2124_20260107_0700,already_complete,7,,0,0.0,all_samples_already_in_gcp
2026_HARP14251_20260106_2200_20260107_0424,already_complete,5,,0,0.0,all_samples_already_in_gcp
2026_HARP14246_20260106_2212_20260107_0124,already_complete,3,,0,0.0,all_samples_already_in_gcp
2026_HARP14245_20260107_1036_20260107_1212,already_complete,2,,0,0.0,all_samples_already_in_gcp
2026_HARP14251_20260107_1112_20260107_1248,already_complete,2,,0,0.0,all_samples_already_in_gcp
2026_HARP14251_20260107_1948_20260108_0524,already_complete,7,,0,0.0,all_samples_already_in_gcp
2026_HARP14251_20260108_0912_20260109_0424,already_complete,13,,0,0.0,all_samples_already_in_gcp
2026_HARP14260_20260108_1900_20260109_0612,already_complete,8,,0,0.0,all_samples_already_in_gcp
2026_HARP14260_20260109_1000_20260109_1624,already_complete,5,,0,0.0,all_samples_already_in_gcp
2026_HARP14251_20260109_1124_20260110_0636,already_complete,13,,0,0.0,all_samples_already_in_gcp
