block_id,status,n_targets,n_saved_this_run,elapsed_minutes,message,n_pending_at_start
2025_HARP12519_20250101_0124_20250101_0612,already_complete,4,0,0.0,all_samples_already_in_gcp,
2025_HARP12492_20250102_0124_20250102_2348,already_complete,15,0,0.0,all_samples_already_in_gcp,
2025_HARP12492_20250103_0124_20250103_0300,already_complete,2,0,0.0,all_samples_already_in_gcp,
2025_HARP12541_20250104_0712_20250105_0536,already_complete,15,0,0.0,all_samples_already_in_gcp,
2025_HARP12511_20250104_1324_20250104_1324,already_complete,1,0,0.0,all_samples_already_in_gcp,
2025_HARP12506_20250105_0900_20250105_2012,already_complete,8,0,0.0,all_samples_already_in_gcp,
2025_HARP12541_20250106_0712_20250106_1024,already_complete,3,0,0.0,all_samples_already_in_gcp,
2025_HARP12541_20250106_1336_20250106_2000,already_complete,5,0,0.0,all_samples_already_in_gcp,
2025_HARP12546_20250107_0224_20250107_2324,already_complete,14,0,0.0,all_samples_already_in_gcp,
2025_HARP12535_20250107_2100_20250108_0012,already_complete,3,0,0.0,all_samples_already_in_gcp,
2025_HARP12532_20250108_0812_20250108_1300,already_complete,4,0,0.0,all_samples_already_in_gcp,
2025_HARP12540_20250108_1912_20250109_0800,already_complete,9,0,0.0,all_samples_already_in_gcp,
2025_HARP12537_20250109_0736_20250109_1848,already_complete,8,0,0.0,all_samples_already_in_gcp,
2025_HARP12537_20250110_0800_20250111_0448,already_complete,14,0,0.0,all_samples_already_in_gcp,
2025_HARP12567_20250111_1012_20250111_1500,already_complete,4,0,0.0,all_samples_already_in_gcp,
2025_HARP12537_20250112_1112_20250112_1112,already_complete,1,0,0.0,all_samples_already_in_gcp,
2025_HARP12567_20250113_1024_20250114_0536,already_complete,13,0,0.0,all_samples_already_in_gcp,
2025_HARP12598_20250114_0536_20250114_0536,already_complete,1,0,0.0,all_samples_already_in_gcp,
2025_HARP12576_20250114_1024_20250115_0048,already_complete,10,0,0.0,all_samples_already_in_gcp,
2025_HARP12576_20250115_0924_20250115_1236,already_complete,3,0,0.0,all_samples_already_in_gcp,
2025_HARP12572_20250115_2112_20250116_0512,already_complete,6,0,0.0,all_samples_already_in_gcp,
2025_HARP12597_20250116_0924_20250116_1548,already_complete,5,0,0.0,all_samples_already_in_gcp,
2025_HARP12579_20250116_1836_20250117_0424,already_complete,7,0,0.0,all_samples_already_in_gcp,
2025_HARP12598_20250116_2212_20250117_0612,already_complete,6,0,0.0,all_samples_already_in_gcp,
2025_HARP12579_20250117_1024_20250118_0536,already_complete,13,0,0.0,all_samples_already_in_gcp,
2025_HARP12576_20250117_1936_20250118_0512,already_complete,7,0,0.0,all_samples_already_in_gcp,
2025_HARP12579_20250118_1936_20250119_0512,already_complete,7,0,0.0,all_samples_already_in_gcp,
2025_HARP12600_20250120_1012_20250121_0536,already_complete,13,0,0.0,all_samples_already_in_gcp,
2025_HARP12579_20250121_0436_20250121_0612,already_complete,2,0,0.0,all_samples_already_in_gcp,
2025_HARP12623_20250122_0412_20250122_0412,already_complete,1,0,0.0,all_samples_already_in_gcp,
2025_HARP12600_20250122_1936_20250122_2112,error,2,0,,DrmsExportError('Expecting value: line 1 column 1 (char 0) [status=4]'),
2025_HARP12623_20250123_1048_20250124_0424,already_complete,12,0,0.0,all_samples_already_in_gcp,
2025_HARP12643_20250124_1124_20250125_0500,error,12,0,,DrmsExportError('Expecting value: line 1 column 1 (char 0) [status=4]'),
2025_HARP12623_20250126_0912_20250126_1224,already_complete,3,0,0.0,all_samples_already_in_gcp,
2025_HARP12660_20250127_0924_20250127_1724,already_complete,6,0,0.0,all_samples_already_in_gcp,
2025_HARP12660_20250129_1012_20250130_0424,already_complete,12,0,0.0,all_samples_already_in_gcp,
2025_HARP12657_20250131_0924_20250201_0612,already_complete,14,0,0.0,all_samples_already_in_gcp,
2025_HARP12667_20250202_0912_20250203_0424,already_complete,13,0,0.0,all_samples_already_in_gcp,
2025_HARP12679_20250203_1012_20250204_0524,already_complete,13,0,0.0,all_samples_already_in_gcp,
2025_HARP12667_20250204_1024_20250205_0924,already_complete,15,0,0.0,all_samples_already_in_gcp,
2025_HARP12679_20250205_0812_20250206_0512,already_complete,14,0,0.0,all_samples_already_in_gcp,
2025_HARP12703_20250205_2048_20250206_1912,already_complete,15,0,0.0,all_samples_already_in_gcp,
2025_HARP12701_20250207_0736_20250208_0424,already_complete,14,0,0.0,all_samples_already_in_gcp,
2025_HARP12708_20250208_1412_20250209_1236,already_complete,15,0,0.0,all_samples_already_in_gcp,
2025_HARP12712_20250209_1936_20250210_1624,already_complete,14,0,0.0,all_samples_already_in_gcp,
2025_HARP12713_20250210_2300_20250211_2124,already_complete,15,0,0.0,all_samples_already_in_gcp,
2025_HARP12713_20250211_2300_20250212_2148,already_complete,15,0,0.0,all_samples_already_in_gcp,
2025_HARP12752_20250213_1324_20250214_1148,already_complete,15,0,0.0,all_samples_already_in_gcp,
2025_HARP12713_20250213_2324_20250214_0548,already_complete,5,0,0.0,all_samples_already_in_gcp,
2025_HARP12765_20250214_1948_20250214_2300,already_complete,3,0,0.0,all_samples_already_in_gcp,
2025_HARP12733_20250216_0948_20250217_0812,already_complete,15,0,0.0,all_samples_already_in_gcp,
2025_HARP12732_20250217_0036_20250217_2300,already_complete,15,0,0.0,all_samples_already_in_gcp,
