gcp_path,y_true,y_prob,config_name,fold_id,selected_threshold,y_true_error_analysis,prob_error_analysis,y_pred_error_analysis,error_type,sample_fold_id,sample_split,sample_gcp_path,sample_sample_id,sample_T_REC_dt,sample_HARPNUM,sample_NOAA_AR_clean,sample_label_48h_final,sample_year
gs://suryabench-sharp-pipeline-bamidele/samples_npz/2013/20131107_1536_HARP3344_NOAA11891.npz,1,7.000742334639654e-05,higher_dropout,test_2013,0.0225,1,7.000742334639654e-05,0,FN,test_2015,test,gs://suryabench-sharp-pipeline-bamidele/samples_npz/2013/20131107_1536_HARP3344_NOAA11891.npz,20131107_1536_HARP3344_NOAA11891,2013-11-07 15:36:00,3344.0,11891.0,1.0,2013.0
gs://suryabench-sharp-pipeline-bamidele/samples_npz/2013/20131107_0424_HARP3344_NOAA11891.npz,1,0.0001696640683803,higher_dropout,test_2013,0.0225,1,0.0001696640683803,0,FN,test_2015,test,gs://suryabench-sharp-pipeline-bamidele/samples_npz/2013/20131107_0424_HARP3344_NOAA11891.npz,20131107_0424_HARP3344_NOAA11891,2013-11-07 04:24:00,3344.0,11891.0,1.0,2013.0
gs://suryabench-sharp-pipeline-bamidele/samples_npz/2015/20150824_0900_HARP5885_NOAA12403.npz,1,0.0001876664027804,higher_dropout,test_2015,0.1275,1,0.0001876664027804,0,FN,test_2015,test,gs://suryabench-sharp-pipeline-bamidele/samples_npz/2015/20150824_0900_HARP5885_NOAA12403.npz,20150824_0900_HARP5885_NOAA12403,2015-08-24 09:00:00,5885.0,12403.0,1.0,2015.0
gs://suryabench-sharp-pipeline-bamidele/samples_npz/2013/20131028_1324_HARP3311_NOAA11882.npz,1,0.0002514472289476,higher_dropout,test_2013,0.0225,1,0.0002514472289476,0,FN,test_2015,test,gs://suryabench-sharp-pipeline-bamidele/samples_npz/2013/20131028_1324_HARP3311_NOAA11882.npz,20131028_1324_HARP3311_NOAA11882,2013-10-28 13:24:00,3311.0,11882.0,1.0,2013.0
gs://suryabench-sharp-pipeline-bamidele/samples_npz/2013/20131107_0600_HARP3344_NOAA11891.npz,1,0.0002596108242869,higher_dropout,test_2013,0.0225,1,0.0002596108242869,0,FN,test_2015,test,gs://suryabench-sharp-pipeline-bamidele/samples_npz/2013/20131107_0600_HARP3344_NOAA11891.npz,20131107_0600_HARP3344_NOAA11891,2013-11-07 06:00:00,3344.0,11891.0,1.0,2013.0
gs://suryabench-sharp-pipeline-bamidele/samples_npz/2013/20131107_1400_HARP3344_NOAA11891.npz,1,0.0002690452965907,higher_dropout,test_2013,0.0225,1,0.0002690452965907,0,FN,test_2015,test,gs://suryabench-sharp-pipeline-bamidele/samples_npz/2013/20131107_1400_HARP3344_NOAA11891.npz,20131107_1400_HARP3344_NOAA11891,2013-11-07 14:00:00,3344.0,11891.0,1.0,2013.0
gs://suryabench-sharp-pipeline-bamidele/samples_npz/2013/20131108_0312_HARP3344_NOAA11891.npz,1,0.0003197750193066,higher_dropout,test_2013,0.0225,1,0.0003197750193066,0,FN,test_2015,test,gs://suryabench-sharp-pipeline-bamidele/samples_npz/2013/20131108_0312_HARP3344_NOAA11891.npz,20131108_0312_HARP3344_NOAA11891,2013-11-08 03:12:00,3344.0,11891.0,1.0,2013.0
gs://suryabench-sharp-pipeline-bamidele/samples_npz/2014/20140611_2224_HARP4231_NOAA12089.npz,1,0.000321417232044,higher_dropout,test_2014,0.5975,1,0.000321417232044,0,FN,test_2015,test,gs://suryabench-sharp-pipeline-bamidele/samples_npz/2014/20140611_2224_HARP4231_NOAA12089.npz,20140611_2224_HARP4231_NOAA12089,2014-06-11 22:24:00,4231.0,12089.0,1.0,2014.0
gs://suryabench-sharp-pipeline-bamidele/samples_npz/2013/20131108_0448_HARP3344_NOAA11891.npz,1,0.0003376314707566,higher_dropout,test_2013,0.0225,1,0.0003376314707566,0,FN,test_2015,test,gs://suryabench-sharp-pipeline-bamidele/samples_npz/2013/20131108_0448_HARP3344_NOAA11891.npz,20131108_0448_HARP3344_NOAA11891,2013-11-08 04:48:00,3344.0,11891.0,1.0,2013.0
gs://suryabench-sharp-pipeline-bamidele/samples_npz/2013/20130817_1636_HARP3056_NOAA11818.npz,1,0.0003549992397893,higher_dropout,test_2013,0.0225,1,0.0003549992397893,0,FN,test_2015,test,gs://suryabench-sharp-pipeline-bamidele/samples_npz/2013/20130817_1636_HARP3056_NOAA11818.npz,20130817_1636_HARP3056_NOAA11818,2013-08-17 16:36:00,3056.0,11818.0,1.0,2013.0
