block_id,HARPNUM,start,end,n_targets,n_positive,global_block_index,num_shards,shard_index
2025_HARP12492_20250101_0100_20250101_2348,12492,2025-01-01 01:00:00,2025-01-01 23:48:00,15,15,0,4,0
2025_HARP12511_20250101_1024_20250101_1648,12511,2025-01-01 10:24:00,2025-01-01 16:48:00,5,0,4,4,0
2025_HARP12511_20250102_0912_20250102_0912,12511,2025-01-02 09:12:00,2025-01-02 09:12:00,1,0,8,4,0
2025_HARP12511_20250103_1324_20250104_1148,12511,2025-01-03 13:24:00,2025-01-04 11:48:00,15,0,12,4,0
2025_HARP12506_20250104_0900_20250105_0724,12506,2025-01-04 09:00:00,2025-01-05 07:24:00,15,0,16,4,0
2025_HARP12541_20250105_0712_20250106_0536,12541,2025-01-05 07:12:00,2025-01-06 05:36:00,15,0,20,4,0
2025_HARP12540_20250105_1512_20250106_1024,12540,2025-01-05 15:12:00,2025-01-06 10:24:00,13,0,24,4,0
2025_HARP12515_20250106_0924_20250106_1724,12515,2025-01-06 09:24:00,2025-01-06 17:24:00,6,0,28,4,0
2025_HARP12532_20250106_2048_20250107_1924,12532,2025-01-06 20:48:00,2025-01-07 19:24:00,15,12,32,4,0
2025_HARP12515_20250107_2048_20250108_0000,12515,2025-01-07 20:48:00,2025-01-08 00:00:00,3,0,36,4,0
2025_HARP12537_20250108_0700_20250108_1324,12537,2025-01-08 07:00:00,2025-01-08 13:24:00,5,0,40,4,0
2025_HARP12540_20250108_0900_20250108_1212,12540,2025-01-08 09:00:00,2025-01-08 12:12:00,3,0,44,4,0
2025_HARP12532_20250108_2000_20250109_1824,12532,2025-01-08 20:00:00,2025-01-09 18:24:00,15,3,48,4,0
2025_HARP12532_20250109_2000_20250110_0912,12532,2025-01-09 20:00:00,2025-01-10 09:12:00,9,0,52,4,0
2025_HARP12546_20250110_1936_20250111_0648,12546,2025-01-10 19:36:00,2025-01-11 06:48:00,8,0,56,4,0
2025_HARP12537_20250111_2200_20250112_0424,12537,2025-01-11 22:00:00,2025-01-12 04:24:00,5,0,60,4,0
2025_HARP12572_20250112_1312_20250112_1624,12572,2025-01-12 13:12:00,2025-01-12 16:24:00,3,0,64,4,0
2025_HARP12597_20250114_0124_20250114_0436,12597,2025-01-14 01:24:00,2025-01-14 04:36:00,3,0,68,4,0
2025_HARP12598_20250114_0924_20250115_0612,12598,2025-01-14 09:24:00,2025-01-15 06:12:00,14,0,72,4,0
2025_HARP12597_20250114_1412_20250114_1412,12597,2025-01-14 14:12:00,2025-01-14 14:12:00,1,0,76,4,0
2025_HARP12572_20250115_1012_20250115_1324,12572,2025-01-15 10:12:00,2025-01-15 13:24:00,3,0,80,4,0
2025_HARP12576_20250115_2200_20250116_0424,12576,2025-01-15 22:00:00,2025-01-16 04:24:00,5,0,84,4,0
2025_HARP12576_20250116_1012_20250117_0536,12576,2025-01-16 10:12:00,2025-01-17 05:36:00,13,0,88,4,0
2025_HARP12597_20250116_1900_20250116_1900,12597,2025-01-16 19:00:00,2025-01-16 19:00:00,1,1,92,4,0
2025_HARP12597_20250116_2224_20250117_0624,12597,2025-01-16 22:24:00,2025-01-17 06:24:00,6,6,96,4,0
2025_HARP12597_20250117_1048_20250117_1536,12597,2025-01-17 10:48:00,2025-01-17 15:36:00,4,4,100,4,0
2025_HARP12579_20250118_1000_20250118_1624,12579,2025-01-18 10:00:00,2025-01-18 16:24:00,5,0,104,4,0
2025_HARP12589_20250119_1124_20250120_0500,12589,2025-01-19 11:24:00,2025-01-20 05:00:00,12,0,108,4,0
2025_HARP12589_20250120_1100_20250120_1724,12589,2025-01-20 11:00:00,2025-01-20 17:24:00,5,5,112,4,0
2025_HARP12600_20250121_1136_20250121_1624,12600,2025-01-21 11:36:00,2025-01-21 16:24:00,4,0,116,4,0
