block_id,HARPNUM,start,end,n_targets,n_positive,global_block_index,num_shards,shard_index
2025_HARP12506_20250101_0836_20250102_0724,12506,2025-01-01 08:36:00,2025-01-02 07:24:00,15,0,3,4,3
2025_HARP12506_20250102_0900_20250103_0724,12506,2025-01-02 09:00:00,2025-01-03 07:24:00,15,0,7,4,3
2025_HARP12506_20250103_0900_20250104_0724,12506,2025-01-03 09:00:00,2025-01-04 07:24:00,15,0,11,4,3
2025_HARP12535_20250104_0800_20250105_0624,12535,2025-01-04 08:00:00,2025-01-05 06:24:00,15,0,15,4,3
2025_HARP12540_20250104_1512_20250105_1336,12540,2025-01-04 15:12:00,2025-01-05 13:36:00,15,0,19,4,3
2025_HARP12515_20250105_0924_20250106_0748,12515,2025-01-05 09:24:00,2025-01-06 07:48:00,15,0,23,4,3
2025_HARP12535_20250106_0800_20250106_1736,12535,2025-01-06 08:00:00,2025-01-06 17:36:00,7,0,27,4,3
2025_HARP12515_20250106_2036_20250107_1724,12515,2025-01-06 20:36:00,2025-01-07 17:24:00,14,0,31,4,3
2025_HARP12540_20250107_1336_20250107_2324,12540,2025-01-07 13:36:00,2025-01-07 23:24:00,7,0,35,4,3
2025_HARP12537_20250107_2300_20250108_0036,12537,2025-01-07 23:00:00,2025-01-08 00:36:00,2,0,39,4,3
2025_HARP12535_20250108_0812_20250108_1300,12535,2025-01-08 08:12:00,2025-01-08 13:00:00,4,0,43,4,3
2025_HARP12546_20250108_1912_20250109_1736,12546,2025-01-08 19:12:00,2025-01-09 17:36:00,15,0,47,4,3
2025_HARP12546_20250109_1912_20250110_1624,12546,2025-01-09 19:12:00,2025-01-10 16:24:00,14,0,51,4,3
2025_HARP12567_20250110_1612_20250111_0500,12567,2025-01-10 16:12:00,2025-01-11 05:00:00,9,0,55,4,3
2025_HARP12546_20250111_1024_20250111_1512,12546,2025-01-11 10:24:00,2025-01-11 15:12:00,4,0,59,4,3
2025_HARP12567_20250112_1124_20250113_0636,12567,2025-01-12 11:24:00,2025-01-13 06:36:00,13,0,63,4,3
2025_HARP12572_20250113_1036_20250114_0548,12572,2025-01-13 10:36:00,2025-01-14 05:48:00,13,0,67,4,3
2025_HARP12567_20250114_0924_20250115_0300,12567,2025-01-14 09:24:00,2025-01-15 03:00:00,12,0,71,4,3
2025_HARP12572_20250114_1112_20250115_0624,12572,2025-01-14 11:12:00,2025-01-15 06:24:00,13,0,75,4,3
2025_HARP12598_20250115_1000_20250115_1312,12598,2025-01-15 10:00:00,2025-01-15 13:12:00,3,0,79,4,3
2025_HARP12597_20250115_2112_20250116_0512,12597,2025-01-15 21:12:00,2025-01-16 05:12:00,6,6,83,4,3
2025_HARP12611_20250116_1000_20250116_1624,12611,2025-01-16 10:00:00,2025-01-16 16:24:00,5,0,87,4,3
2025_HARP12572_20250116_1900_20250116_1900,12572,2025-01-16 19:00:00,2025-01-16 19:00:00,1,0,91,4,3
2025_HARP12572_20250116_2224_20250117_0000,12572,2025-01-16 22:24:00,2025-01-17 00:00:00,2,0,95,4,3
2025_HARP12598_20250117_1036_20250118_0548,12598,2025-01-17 10:36:00,2025-01-18 05:48:00,13,0,99,4,3
