block_id,HARPNUM,start,end,n_targets,n_positive,global_block_index,num_shards,shard_index
2025_HARP12511_20250101_0100_20250101_0412,12511,2025-01-01 01:00:00,2025-01-01 04:12:00,3,0,1,2,1
2025_HARP12506_20250101_0836_20250102_0724,12506,2025-01-01 08:36:00,2025-01-02 07:24:00,15,0,3,2,1
2025_HARP12511_20250101_2024_20250101_2024,12511,2025-01-01 20:24:00,2025-01-01 20:24:00,1,0,5,2,1
2025_HARP12506_20250102_0900_20250103_0724,12506,2025-01-02 09:00:00,2025-01-03 07:24:00,15,0,7,2,1
2025_HARP12511_20250102_1248_20250103_1148,12511,2025-01-02 12:48:00,2025-01-03 11:48:00,15,0,9,2,1
2025_HARP12506_20250103_0900_20250104_0724,12506,2025-01-03 09:00:00,2025-01-04 07:24:00,15,0,11,2,1
2025_HARP12515_20250103_2036_20250104_0612,12515,2025-01-03 20:36:00,2025-01-04 06:12:00,7,0,13,2,1
2025_HARP12535_20250104_0800_20250105_0624,12535,2025-01-04 08:00:00,2025-01-05 06:24:00,15,0,15,2,1
2025_HARP12515_20250104_0924_20250105_0748,12515,2025-01-04 09:24:00,2025-01-05 07:48:00,15,0,17,2,1
2025_HARP12540_20250104_1512_20250105_1336,12540,2025-01-04 15:12:00,2025-01-05 13:36:00,15,0,19,2,1
2025_HARP12535_20250105_0800_20250106_0624,12535,2025-01-05 08:00:00,2025-01-06 06:24:00,15,0,21,2,1
2025_HARP12515_20250105_0924_20250106_0748,12515,2025-01-05 09:24:00,2025-01-06 07:48:00,15,0,23,2,1
2025_HARP12532_20250106_0000_20250106_1736,12532,2025-01-06 00:00:00,2025-01-06 17:36:00,12,11,25,2,1
2025_HARP12535_20250106_0800_20250106_1736,12535,2025-01-06 08:00:00,2025-01-06 17:36:00,7,0,27,2,1
2025_HARP12540_20250106_1336_20250107_1200,12540,2025-01-06 13:36:00,2025-01-07 12:00:00,15,0,29,2,1
2025_HARP12515_20250106_2036_20250107_1724,12515,2025-01-06 20:36:00,2025-01-07 17:24:00,14,0,31,2,1
2025_HARP12535_20250106_2048_20250107_1924,12535,2025-01-06 20:48:00,2025-01-07 19:24:00,15,0,33,2,1
2025_HARP12540_20250107_1336_20250107_2324,12540,2025-01-07 13:36:00,2025-01-07 23:24:00,7,0,35,2,1
2025_HARP12532_20250107_2100_20250108_0012,12532,2025-01-07 21:00:00,2025-01-08 00:12:00,3,3,37,2,1
2025_HARP12537_20250107_2300_20250108_0036,12537,2025-01-07 23:00:00,2025-01-08 00:36:00,2,0,39,2,1
2025_HARP12515_20250108_0800_20250108_1248,12515,2025-01-08 08:00:00,2025-01-08 12:48:00,4,0,41,2,1
2025_HARP12535_20250108_0812_20250108_1300,12535,2025-01-08 08:12:00,2025-01-08 13:00:00,4,0,43,2,1
2025_HARP12546_20250108_0900_20250108_1212,12546,2025-01-08 09:00:00,2025-01-08 12:12:00,3,0,45,2,1
2025_HARP12546_20250108_1912_20250109_1736,12546,2025-01-08 19:12:00,2025-01-09 17:36:00,15,0,47,2,1
2025_HARP12537_20250108_2024_20250109_0424,12537,2025-01-08 20:24:00,2025-01-09 04:24:00,6,0,49,2,1
2025_HARP12546_20250109_1912_20250110_1624,12546,2025-01-09 19:12:00,2025-01-10 16:24:00,14,0,51,2,1
2025_HARP12537_20250109_2200_20250110_0424,12537,2025-01-09 22:00:00,2025-01-10 04:24:00,5,0,53,2,1
2025_HARP12567_20250110_1612_20250111_0500,12567,2025-01-10 16:12:00,2025-01-11 05:00:00,9,0,55,2,1
2025_HARP12537_20250111_1000_20250111_1448,12537,2025-01-11 10:00:00,2025-01-11 14:48:00,4,0,57,2,1
2025_HARP12546_20250111_1024_20250111_1512,12546,2025-01-11 10:24:00,2025-01-11 15:12:00,4,0,59,2,1
2025_HARP12567_20250111_2212_20250112_0612,12567,2025-01-11 22:12:00,2025-01-12 06:12:00,6,0,61,2,1
2025_HARP12567_20250112_1124_20250113_0636,12567,2025-01-12 11:24:00,2025-01-13 06:36:00,13,0,63,2,1
2025_HARP12572_20250112_1936_20250113_0648,12572,2025-01-12 19:36:00,2025-01-13 06:48:00,8,0,65,2,1
2025_HARP12572_20250113_1036_20250114_0548,12572,2025-01-13 10:36:00,2025-01-14 05:48:00,13,0,67,2,1
